fetched_at,place_name,AREA_NM,AREA_CD,_key_used,ACDNT_CNTRL_STTS__ACDNT_OCCR_DT,ACDNT_CNTRL_STTS__EXP_CLR_DT,ACDNT_CNTRL_STTS__ACDNT_TYPE,ACDNT_CNTRL_STTS__ACDNT_ENG_TYPE,ACDNT_CNTRL_STTS__ACDNT_DTYPE,ACDNT_CNTRL_STTS__ACDNT_ENG_DTYPE,ACDNT_CNTRL_STTS__ACDNT_INFO,ACDNT_CNTRL_STTS__ACDNT_ENG_INFO,ACDNT_CNTRL_STTS__ACDNT_X,ACDNT_CNTRL_STTS__ACDNT_Y,ACDNT_CNTRL_STTS__ACDNT_TIME
2026-05-12T00:14:31.477260+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_2,2026-05-10 15:14,2026-05-10 16:00,교통사고,Traffic Accident,추돌사고,Rear-end Collision,종로 (종로구청입구 → 종로1가) 2차로 교통사고 →2|3차로 처리작업중,Jongno (Jongro-gu Office Entrance → Jongno 1-ga) Second-lane traffic accident →2|3rd-lane processing work,126.98019828911902,37.570130413962595,2026-05-12 00:01
2026-05-12T00:14:31.477260+09:00,신촌·이대역,신촌·이대역,POI040,KEY_3,2026-01-11 09:00,2026-01-11 22:00,집회및행사,Rally/Event,행사,Event,- 신촌 연세로 차 없는 거리|- 운영시간 : 매주 일요일 09:00 ~ 22:00 |- 시행구간 및 시행방법 : 연세로 (신촌전철역~연세대학교 앞 550m)| 버스노선 우회 운행 후 교통통제|* 창천교회→연대 앞 57m 구간 미운영,-. Sinchon Yonsei-ro car-free distance |-. operating hours: every Sunday from 09:00 to 22:00 |-. implementation section and implementation method: Yonsei-ro (Sinchon Railway Station~)550m in front of Yonsei University) | Traffic control after bypassing bus route |* Changcheon Church → 57m section in front of Yonsei University not operated,126.93691458461234,37.558273778858364,2026-05-12 00:01
2026-05-12T02:05:06.340981+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_2,2026-05-10 15:14,2026-05-10 16:00,교통사고,Traffic Accident,추돌사고,Rear-end Collision,종로 (종로구청입구 → 종로1가) 2차로 교통사고 →2|3차로 처리작업중,Jongno (Jongro-gu Office Entrance → Jongno 1-ga) Second-lane traffic accident →2|3rd-lane processing work,126.98019828911902,37.570130413962595,2026-05-12 02:01
2026-05-12T02:05:06.340981+09:00,신촌·이대역,신촌·이대역,POI040,KEY_3,2026-01-11 09:00,2026-01-11 22:00,집회및행사,Rally/Event,행사,Event,- 신촌 연세로 차 없는 거리|- 운영시간 : 매주 일요일 09:00 ~ 22:00 |- 시행구간 및 시행방법 : 연세로 (신촌전철역~연세대학교 앞 550m)| 버스노선 우회 운행 후 교통통제|* 창천교회→연대 앞 57m 구간 미운영,-. Sinchon Yonsei-ro car-free distance |-. operating hours: every Sunday from 09:00 to 22:00 |-. implementation section and implementation method: Yonsei-ro (Sinchon Railway Station~)550m in front of Yonsei University) | Traffic control after bypassing bus route |* Changcheon Church → 57m section in front of Yonsei University not operated,126.93691458461234,37.558273778858364,2026-05-12 02:01
2026-05-12T02:49:40.622578+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_2,2026-05-10 15:14,2026-05-10 16:00,교통사고,Traffic Accident,추돌사고,Rear-end Collision,종로 (종로구청입구 → 종로1가) 2차로 교통사고 →2|3차로 처리작업중,Jongno (Jongro-gu Office Entrance → Jongno 1-ga) Second-lane traffic accident →2|3rd-lane processing work,126.98019828911902,37.570130413962595,2026-05-12 02:01
2026-05-12T02:49:40.622578+09:00,신촌·이대역,신촌·이대역,POI040,KEY_3,2026-01-11 09:00,2026-01-11 22:00,집회및행사,Rally/Event,행사,Event,- 신촌 연세로 차 없는 거리|- 운영시간 : 매주 일요일 09:00 ~ 22:00 |- 시행구간 및 시행방법 : 연세로 (신촌전철역~연세대학교 앞 550m)| 버스노선 우회 운행 후 교통통제|* 창천교회→연대 앞 57m 구간 미운영,-. Sinchon Yonsei-ro car-free distance |-. operating hours: every Sunday from 09:00 to 22:00 |-. implementation section and implementation method: Yonsei-ro (Sinchon Railway Station~)550m in front of Yonsei University) | Traffic control after bypassing bus route |* Changcheon Church → 57m section in front of Yonsei University not operated,126.93691458461234,37.558273778858364,2026-05-12 02:01
2026-05-12T04:45:02.862995+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_2,2026-05-10 15:14,2026-05-10 16:00,교통사고,Traffic Accident,추돌사고,Rear-end Collision,종로 (종로구청입구 → 종로1가) 2차로 교통사고 →2|3차로 처리작업중,Jongno (Jongro-gu Office Entrance → Jongno 1-ga) Second-lane traffic accident →2|3rd-lane processing work,126.98019828911902,37.570130413962595,2026-05-12 04:01
2026-05-12T04:45:02.862995+09:00,신촌·이대역,신촌·이대역,POI040,KEY_3,2026-01-11 09:00,2026-01-11 22:00,집회및행사,Rally/Event,행사,Event,- 신촌 연세로 차 없는 거리|- 운영시간 : 매주 일요일 09:00 ~ 22:00 |- 시행구간 및 시행방법 : 연세로 (신촌전철역~연세대학교 앞 550m)| 버스노선 우회 운행 후 교통통제|* 창천교회→연대 앞 57m 구간 미운영,-. Sinchon Yonsei-ro car-free distance |-. operating hours: every Sunday from 09:00 to 22:00 |-. implementation section and implementation method: Yonsei-ro (Sinchon Railway Station~)550m in front of Yonsei University) | Traffic control after bypassing bus route |* Changcheon Church → 57m section in front of Yonsei University not operated,126.93691458461234,37.558273778858364,2026-05-12 04:01
2026-05-12T05:44:08.278091+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_2,2026-05-10 15:14,2026-05-10 16:00,교통사고,Traffic Accident,추돌사고,Rear-end Collision,종로 (종로구청입구 → 종로1가) 2차로 교통사고 →2|3차로 처리작업중,Jongno (Jongro-gu Office Entrance → Jongno 1-ga) Second-lane traffic accident →2|3rd-lane processing work,126.98019828911902,37.570130413962595,2026-05-12 05:01
2026-05-12T05:44:08.278091+09:00,신촌·이대역,신촌·이대역,POI040,KEY_3,2026-01-11 09:00,2026-01-11 22:00,집회및행사,Rally/Event,행사,Event,- 신촌 연세로 차 없는 거리|- 운영시간 : 매주 일요일 09:00 ~ 22:00 |- 시행구간 및 시행방법 : 연세로 (신촌전철역~연세대학교 앞 550m)| 버스노선 우회 운행 후 교통통제|* 창천교회→연대 앞 57m 구간 미운영,-. Sinchon Yonsei-ro car-free distance |-. operating hours: every Sunday from 09:00 to 22:00 |-. implementation section and implementation method: Yonsei-ro (Sinchon Railway Station~)550m in front of Yonsei University) | Traffic control after bypassing bus route |* Changcheon Church → 57m section in front of Yonsei University not operated,126.93691458461234,37.558273778858364,2026-05-12 05:01
2026-05-12T10:05:40.070820+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,2026-05-12 09:24,2026-05-12 18:30,공사,Construction,시설물보수,Facility Maintenance,세종대로 (덕수궁 → 서울시의회) 4차로 시설물보수,Sejong-daero (Deoksu Palace → Seoul Metropolitan Council) Repairing the 4th round of facilities,126.97738319318302,37.565610062519504,2026-05-12 10:01
