fetched_at,place_name,AREA_NM,AREA_CD,_key_used
2026-06-27T00:05:06.108194+09:00,경복궁,경복궁,POI008,KEY_1
2026-06-27T00:05:06.108194+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2
2026-06-27T00:05:06.108194+09:00,보신각,보신각,POI010,KEY_3
2026-06-27T00:05:06.108194+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4
2026-06-27T00:05:06.108194+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1
2026-06-27T00:05:06.108194+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2
2026-06-27T00:05:06.108194+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3
2026-06-27T00:05:06.108194+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4
2026-06-27T00:05:06.108194+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1
2026-06-27T00:05:06.108194+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2
2026-06-27T00:05:06.108194+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3
2026-06-27T00:05:06.108194+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4
2026-06-27T00:05:06.108194+09:00,강서한강공원,강서한강공원,POI085,KEY_1
2026-06-27T00:05:06.108194+09:00,고척돔,고척돔,POI086,KEY_2
2026-06-27T00:05:06.108194+09:00,광나루한강공원,광나루한강공원,POI087,KEY_3
2026-06-27T00:05:06.108194+09:00,광화문광장,광화문광장,POI088,KEY_4
2026-06-27T00:05:06.108194+09:00,국립중앙박물관·용산가족공원,국립중앙박물관·용산가족공원,POI089,KEY_1
2026-06-27T00:05:06.108194+09:00,난지한강공원,난지한강공원,POI090,KEY_2
2026-06-27T00:05:06.108194+09:00,남산공원,남산공원,POI091,KEY_3
2026-06-27T00:05:06.108194+09:00,노들섬,노들섬,POI092,KEY_4
2026-06-27T00:05:06.108194+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1
2026-06-27T00:05:06.108194+09:00,망원한강공원,망원한강공원,POI094,KEY_2
2026-06-27T00:05:06.108194+09:00,반포한강공원,반포한강공원,POI095,KEY_3
2026-06-27T00:05:06.108194+09:00,보라매공원,보라매공원,POI123,KEY_4
