fetched_at,place_name,AREA_NM,AREA_CD,_key_used,CHARGER_STTS__STAT_NM,CHARGER_STTS__STAT_ID,CHARGER_STTS__STAT_ADDR,CHARGER_STTS__STAT_X,CHARGER_STTS__STAT_Y,CHARGER_STTS__STAT_USETIME,CHARGER_STTS__STAT_PARKPAY,CHARGER_STTS__STAT_LIMITYN,CHARGER_STTS__STAT_LIMITDETAIL,CHARGER_STTS__STAT_KINDDETAIL
2026-08-21T00:44:35.310258+09:00,경복궁,경복궁,POI008,KEY_1,경복궁주차장,CV002874,서울특별시 종로구 사직로 161,126.97872741,37.577568439,06:00 ~ 23:00,N,N,,관광지
2026-08-21T00:44:35.310258+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,서울시 잠실실내체육관,PI000664,서울특별시 송파구 올림픽로 25,127.0759402,37.5161998,24시간 이용가능,Y,N,,지자체시설
2026-08-21T00:44:35.310258+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,서울시설공단신천유수지,PI760057,서울특별시 송파구 오금로 1,127.1032016,37.52178514,08:00~22:00,N,N,,공영주차장
2026-08-21T00:44:35.310258+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,서울시 이태원1동 주민센터,PI000340,서울특별시 용산구 보광로 104-6,126.9950671533,37.5325069957,평일09:00~18:00,,N,,Unknown
2026-08-21T01:47:44.069687+09:00,경복궁,경복궁,POI008,KEY_1,경복궁주차장,CV002874,서울특별시 종로구 사직로 161,126.97872741,37.577568439,06:00 ~ 23:00,N,N,,관광지
2026-08-21T01:47:44.069687+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,서울시 잠실실내체육관,PI000664,서울특별시 송파구 올림픽로 25,127.0759402,37.5161998,24시간 이용가능,Y,N,,지자체시설
2026-08-21T01:47:44.069687+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,서울시설공단신천유수지,PI760057,서울특별시 송파구 오금로 1,127.1032016,37.52178514,08:00~22:00,N,N,,공영주차장
2026-08-21T01:47:44.069687+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,서울시 이태원1동 주민센터,PI000340,서울특별시 용산구 보광로 104-6,126.9950671533,37.5325069957,평일09:00~18:00,,N,,Unknown
2026-08-21T02:40:34.615580+09:00,경복궁,경복궁,POI008,KEY_1,경복궁주차장,CV002874,서울특별시 종로구 사직로 161,126.97872741,37.577568439,06:00 ~ 23:00,N,N,,관광지
2026-08-21T02:40:34.615580+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,서울시 잠실실내체육관,PI000664,서울특별시 송파구 올림픽로 25,127.0759402,37.5161998,24시간 이용가능,Y,N,,지자체시설
