fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME,RSB_LRG_CTGR,RSB_MID_CTGR,RSB_PAYMENT_LVL,RSB_SH_PAYMENT_CNT,RSB_SH_PAYMENT_AMT_MIN,RSB_SH_PAYMENT_AMT_MAX,RSB_MCT_CNT,RSB_MCT_TIME
2026-05-10T23:08:17.374458+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,한산한,6,30000,40000,67.7,32.3,0.0,19.4,41.9,32.3,6.5,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,경복궁,경복궁,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,창덕궁,창덕궁,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,종묘,종묘,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,남산공원,남산공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,인사동,인사동,POI078,KEY_1,한산한,4,10000,20000,87.5,12.5,0.0,12.5,81.3,6.3,0.0,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_1,한산한,5,30000,40000,93.5,6.5,29.0,0.0,22.6,0.0,48.4,0.0,100.0,0.0,20260510 2220,,,,,,,,
2026-05-10T23:08:17.374458+09:00,이태원역,이태원역,POI047,KEY_1,바쁜,24,950000,1000000,53.9,46.1,0.0,34.1,44.4,12.1,1.5,7.8,85.7,14.3,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_1,보통,5,100000,150000,33.1,66.9,0.0,54.2,23.7,22.0,0.0,0.0,100.0,0.0,20260510 2110,,,,,,,,
2026-05-10T23:08:17.374458+09:00,강남역,강남역,POI014,KEY_1,보통,93,1700000,1800000,44.1,55.9,0.0,31.5,23.8,19.5,22.6,2.6,85.9,14.1,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,홍대입구역(2호선),홍대입구역(2호선),POI055,KEY_1,한산한,27,550000,600000,32.8,67.2,8.3,63.1,20.6,6.3,1.7,0.0,92.0,8.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,신촌·이대역,신촌·이대역,POI040,KEY_1,보통,42,750000,800000,52.1,47.9,0.0,63.8,10.8,13.3,8.8,3.3,98.6,1.4,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,건대입구역,건대입구역,POI015,KEY_1,보통,87,1800000,1900000,57.6,42.4,15.6,57.2,12.3,8.4,5.8,0.8,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,잠실종합운동장,잠실종합운동장,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,잠실한강공원,잠실한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_1,한산한,5,20000,30000,65.4,34.6,0.0,0.0,73.1,0.0,26.9,0.0,100.0,0.0,20260510 2220,,,,,,,,
2026-05-10T23:08:17.374458+09:00,고속터미널역,고속터미널역,POI017,KEY_1,한산한,16,250000,300000,41.3,58.7,0.0,86.1,0.4,0.4,7.9,5.2,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,서울역,서울역,POI033,KEY_1,한산한,7,200000,250000,53.4,46.6,0.0,31.4,53.4,0.0,15.2,0.0,100.0,0.0,20260510 2220,,,,,,,,
2026-05-10T23:08:17.374458+09:00,용산역,용산역,POI046,KEY_1,한산한,6,40000,50000,44.2,55.8,0.0,32.6,67.4,0.0,0.0,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,여의도,여의도,POI072,KEY_1,한산한,15,80000,90000,62.1,37.9,0.0,32.2,34.5,26.4,6.9,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_1,한산한,10,800000,850000,41.9,58.1,0.0,16.6,67.3,16.1,0.0,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,신사역(가로수길),신사역(가로수길),,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,삼성역,삼성역,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,선릉역,선릉역,POI034,KEY_1,한산한,16,150000,200000,50.3,49.7,0.0,4.9,82.2,9.2,0.0,3.8,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,교대역,교대역,POI018,KEY_1,한산한,9,100000,150000,97.7,2.3,0.0,0.0,2.3,82.7,2.3,12.8,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,양재역,양재역,POI041,KEY_1,한산한,9,40000,50000,38.0,62.0,0.0,80.0,16.0,0.0,4.0,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,사당역,사당역,POI029,KEY_1,보통,30,800000,850000,70.7,29.3,0.0,26.0,50.1,17.5,6.5,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,신림역,신림역,POI039,KEY_1,보통,42,700000,750000,86.5,13.5,0.0,18.7,57.4,21.5,1.8,0.6,93.6,6.4,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,구로디지털단지역,구로디지털단지역,POI019,KEY_1,한산한,20,200000,250000,89.2,10.8,0.0,15.2,73.5,4.9,6.4,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,이화여대,이화여대,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,성균관대,성균관대,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,고려대,고려대,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,한양대,한양대,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,서울대입구역,서울대입구역,POI031,KEY_1,한산한,21,100000,150000,62.6,37.4,0.0,16.8,35.1,32.8,6.9,8.4,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_1,한산한,8,450000,500000,24.3,75.7,0.0,35.7,42.6,10.5,11.2,0.0,100.0,0.0,20260510 2150,,,,,,,,
2026-05-10T23:08:17.374458+09:00,남대문시장,남대문시장,POI115,KEY_1,한산한,6,20000,30000,89.7,10.3,0.0,0.0,69.0,0.0,10.3,20.7,100.0,0.0,20260510 2150,,,,,,,,
2026-05-10T23:08:17.374458+09:00,동대문역사문화공원역,동대문역사문화공원역,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,한산한,4,30000,40000,35.5,64.5,0.0,0.0,45.2,54.8,0.0,0.0,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,여의도한강공원,여의도한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,반포한강공원,반포한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,뚝섬한강공원,뚝섬한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,월드컵공원,월드컵공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,성수카페거리,성수카페거리,POI068,KEY_1,한산한,15,250000,300000,44.2,55.8,0.0,24.8,61.1,1.8,11.1,1.3,78.5,21.5,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,뚝섬역,뚝섬역,POI025,KEY_1,한산한,7,40000,50000,90.9,9.1,0.0,18.2,63.6,0.0,0.0,18.2,50.0,50.0,20260510 2240,,,,,,,,
2026-05-10T23:08:17.374458+09:00,왕십리역,왕십리역,POI045,KEY_1,한산한,19,100000,150000,55.2,44.8,15.7,67.2,8.2,1.5,7.5,0.0,100.0,0.0,20260510 2250,,,,,,,,
