fetched_at,place_name,AREA_NM,AREA_CD,_key_used,LIVE_DST_MESSAGE__DST_SE_NM,LIVE_DST_MESSAGE__EMRG_STEP_NM,LIVE_DST_MESSAGE__MSG_CN,LIVE_DST_MESSAGE__CRT_DT
2026-07-25T15:27:39.754686+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,폭염,안전안내,연일 무더위 및 열대야가 지속되고 있습니다. ▲야외활동 자제▲그늘에서 휴식▲충분한 수분보충 ▲어르신 안부확인 등 안전관리에 유의하시기 바랍니다.[성북구],2026-07-25 15:03:09
2026-07-25T18:08:44.822787+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
2026-07-25T18:08:44.822787+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,폭염,안전안내,연일 무더위 및 열대야가 지속되고 있습니다. ▲야외활동 자제▲그늘에서 휴식▲충분한 수분보충 ▲어르신 안부확인 등 안전관리에 유의하시기 바랍니다.[성북구],2026-07-25 15:03:09
2026-07-25T18:08:44.822787+09:00,장한평역,장한평역,POI049,KEY_2,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
2026-07-25T18:08:44.822787+09:00,회기역,회기역,POI056,KEY_1,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
2026-07-25T20:22:14.947534+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
2026-07-25T20:22:14.947534+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,폭염,안전안내,연일 무더위 및 열대야가 지속되고 있습니다. ▲야외활동 자제▲그늘에서 휴식▲충분한 수분보충 ▲어르신 안부확인 등 안전관리에 유의하시기 바랍니다.[성북구],2026-07-25 15:03:09
2026-07-25T20:22:14.947534+09:00,장한평역,장한평역,POI049,KEY_2,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
2026-07-25T20:22:14.947534+09:00,회기역,회기역,POI056,KEY_1,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
2026-07-25T22:57:22.174567+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
2026-07-25T22:57:22.174567+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,폭염,안전안내,연일 무더위 및 열대야가 지속되고 있습니다. ▲야외활동 자제▲그늘에서 휴식▲충분한 수분보충 ▲어르신 안부확인 등 안전관리에 유의하시기 바랍니다.[성북구],2026-07-25 15:03:09
2026-07-25T22:57:22.174567+09:00,장한평역,장한평역,POI049,KEY_2,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
2026-07-25T22:57:22.174567+09:00,회기역,회기역,POI056,KEY_1,기타,안전안내,"연일 무더위와 열대야가 지속되고 있습니다. 야외활동 자제, 충분한 수분섭취 등 안전관리에 유의하시기 바랍니다. https://vo.la/E99gezv [동대문구]",2026-07-25 15:46:33
