fetched_at,place_name,AREA_NM,AREA_CD,_key_used,DST_SE_NM,EMRG_STEP_NM,MSG_CN,CRT_DT
2026-07-13T17:26:03.204854+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,폭염,안전안내,"연일 무더위가 지속되고 있습니다. 야외 활동 자제, 충분한 수분 섭취 등 건강관리에 유의 바랍니다. https://vo.la/E99gezv  [동대문구]",2026-07-13 15:45:37
2026-07-13T17:26:03.204854+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T17:26:03.204854+09:00,장한평역,장한평역,POI049,KEY_2,폭염,안전안내,"연일 무더위가 지속되고 있습니다. 야외 활동 자제, 충분한 수분 섭취 등 건강관리에 유의 바랍니다. https://vo.la/E99gezv  [동대문구]",2026-07-13 15:45:37
2026-07-13T17:26:03.204854+09:00,장한평역,장한평역,POI049,KEY_2,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T17:26:03.204854+09:00,회기역,회기역,POI056,KEY_1,폭염,안전안내,"연일 무더위가 지속되고 있습니다. 야외 활동 자제, 충분한 수분 섭취 등 건강관리에 유의 바랍니다. https://vo.la/E99gezv  [동대문구]",2026-07-13 15:45:37
2026-07-13T17:26:03.204854+09:00,회기역,회기역,POI056,KEY_1,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,고척돔,고척돔,POI086,KEY_2,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,고척돔,고척돔,POI086,KEY_2,폭염,안전안내,"오늘 밤에도 폭염이 지속되어 온열질환 발생위험이 높으니, ▲충분한 물 섭취 ▲야외작업 및 외출 자제 등 건강관리에 유의 하시기 바랍니다. [구로구]",2026-07-13 15:22:20
2026-07-13T21:17:03.740731+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,북서울꿈의숲,북서울꿈의숲,POI096,KEY_1,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,북서울꿈의숲,북서울꿈의숲,POI096,KEY_1,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,서울숲공원,서울숲공원,POI101,KEY_1,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,서울숲공원,서울숲공원,POI101,KEY_1,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,아차산,아차산,POI102,KEY_3,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,아차산,아차산,POI102,KEY_3,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,양화한강공원,양화한강공원,POI103,KEY_1,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,양화한강공원,양화한강공원,POI103,KEY_1,화재,안전안내,오늘 10:27 국회 인근 화재 발생으로 국회대로↔서강대교 방향 교통혼잡 중이니 차량들은 참고 하시기 바랍니다. [영등포구],2026-07-13 11:27:21
2026-07-13T21:17:03.740731+09:00,어린이대공원,어린이대공원,POI104,KEY_2,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,어린이대공원,어린이대공원,POI104,KEY_2,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,여의도한강공원,여의도한강공원,POI105,KEY_3,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,여의도한강공원,여의도한강공원,POI105,KEY_3,화재,안전안내,오늘 10:27 국회 인근 화재 발생으로 국회대로↔서강대교 방향 교통혼잡 중이니 차량들은 참고 하시기 바랍니다. [영등포구],2026-07-13 11:27:21
2026-07-13T21:17:03.740731+09:00,여의서로,여의서로,POI126,KEY_4,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,여의서로,여의서로,POI126,KEY_4,화재,안전안내,오늘 10:27 국회 인근 화재 발생으로 국회대로↔서강대교 방향 교통혼잡 중이니 차량들은 참고 하시기 바랍니다. [영등포구],2026-07-13 11:27:21
2026-07-13T21:17:03.740731+09:00,응봉산,응봉산,POI107,KEY_3,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,응봉산,응봉산,POI107,KEY_3,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,성수카페거리,성수카페거리,POI068,KEY_4,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,성수카페거리,성수카페거리,POI068,KEY_4,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,여의도,여의도,POI072,KEY_4,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,여의도,여의도,POI072,KEY_4,화재,안전안내,오늘 10:27 국회 인근 화재 발생으로 국회대로↔서강대교 방향 교통혼잡 중이니 차량들은 참고 하시기 바랍니다. [영등포구],2026-07-13 11:27:21
2026-07-13T21:17:03.740731+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,화재,안전안내,오늘 10:27 국회 인근 화재 발생으로 국회대로↔서강대교 방향 교통혼잡 중이니 차량들은 참고 하시기 바랍니다. [영등포구],2026-07-13 11:27:21
2026-07-13T21:17:03.740731+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,폭염,안전안내,"연일 무더위가 지속되고 있습니다. 야외 활동 자제, 충분한 수분 섭취 등 건강관리에 유의 바랍니다. https://vo.la/E99gezv  [동대문구]",2026-07-13 15:45:37
2026-07-13T21:17:03.740731+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,건대입구역,건대입구역,POI015,KEY_4,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,건대입구역,건대입구역,POI015,KEY_4,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,구로디지털단지역,구로디지털단지역,POI019,KEY_4,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,구로디지털단지역,구로디지털단지역,POI019,KEY_4,폭염,안전안내,"오늘 밤에도 폭염이 지속되어 온열질환 발생위험이 높으니, ▲충분한 물 섭취 ▲야외작업 및 외출 자제 등 건강관리에 유의 하시기 바랍니다. [구로구]",2026-07-13 15:22:20
