fetched_at,place_name,AREA_NM,AREA_CD,_key_used,LIVE_PPLTN_STTS__AREA_NM,LIVE_PPLTN_STTS__AREA_CD,LIVE_PPLTN_STTS__AREA_CONGEST_LVL,LIVE_PPLTN_STTS__AREA_CONGEST_MSG,LIVE_PPLTN_STTS__AREA_PPLTN_MIN,LIVE_PPLTN_STTS__AREA_PPLTN_MAX,LIVE_PPLTN_STTS__MALE_PPLTN_RATE,LIVE_PPLTN_STTS__FEMALE_PPLTN_RATE,LIVE_PPLTN_STTS__PPLTN_RATE_0,LIVE_PPLTN_STTS__PPLTN_RATE_10,LIVE_PPLTN_STTS__PPLTN_RATE_20,LIVE_PPLTN_STTS__PPLTN_RATE_30,LIVE_PPLTN_STTS__PPLTN_RATE_40,LIVE_PPLTN_STTS__PPLTN_RATE_50,LIVE_PPLTN_STTS__PPLTN_RATE_60,LIVE_PPLTN_STTS__PPLTN_RATE_70,LIVE_PPLTN_STTS__RESNT_PPLTN_RATE,LIVE_PPLTN_STTS__NON_RESNT_PPLTN_RATE,LIVE_PPLTN_STTS__REPLACE_YN,LIVE_PPLTN_STTS__PPLTN_TIME,LIVE_PPLTN_STTS__FCST_YN
2026-05-20T00:17:45.790974+09:00,경복궁,경복궁,POI008,KEY_1,경복궁,POI008,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,55.9,44.1,1.2,7.1,14.2,17.4,18.3,17.9,12.3,11.6,66.2,33.8,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,광화문·덕수궁,POI009,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,58.9,41.1,0.7,4.0,17.9,20.9,21.8,18.2,10.3,6.2,44.8,55.2,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,보신각,보신각,POI010,KEY_3,보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,62.4,37.6,0.3,3.3,24.2,24.5,20.1,14.5,8.5,4.5,40.4,59.6,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울 암사동 유적,POI011,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,51.9,48.1,5.8,6.8,10.7,13.0,15.4,17.1,16.0,15.1,81.0,19.0,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,창덕궁·종묘,POI012,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,55.7,44.3,0.4,4.7,25.9,18.2,15.8,16.4,10.9,7.6,45.8,54.2,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,강남 MICE 관광특구,POI001,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,56.4,43.6,1.9,6.5,14.2,18.8,20.2,18.2,11.4,8.9,64.3,35.7,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,동대문 관광특구,POI002,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,49.9,50.1,0.7,3.0,15.5,20.1,21.2,19.1,12.8,7.5,55.4,44.6,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,명동 관광특구,POI003,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,60.5,39.5,0.5,3.2,18.7,20.3,22.7,18.0,10.4,6.1,46.8,53.2,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,이태원 관광특구,POI004,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,54.7,45.3,0.4,2.8,31.0,26.4,16.2,10.9,6.5,5.8,35.6,64.4,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,잠실 관광특구,POI005,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,51.6,48.4,0.2,6.9,22.1,24.1,19.0,13.7,8.2,5.7,35.5,64.5,N,2026-05-19 23:45,Y
2026-05-20T00:17:45.790974+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,종로·청계 관광특구,POI006,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,55.3,44.7,0.8,3.7,19.1,18.6,18.7,17.8,13.0,8.2,55.4,44.6,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,홍대 관광특구,POI007,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,42000,44000,49.9,50.1,1.0,6.6,33.6,19.5,13.3,11.6,7.6,6.9,58.1,41.9,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,강서한강공원,강서한강공원,POI085,KEY_1,강서한강공원,POI085,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,0,100,65.1,34.9,0.0,0.0,11.1,12.2,36.0,30.1,8.1,2.5,2.2,97.8,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,고척돔,고척돔,POI086,KEY_2,고척돔,POI086,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,700,800,44.3,55.7,1.2,5.6,11.7,29.5,19.4,14.5,8.5,9.5,34.2,65.8,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,광나루한강공원,광나루한강공원,POI087,KEY_3,광나루한강공원,POI087,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,51.3,48.7,0.3,4.1,13.9,18.7,20.2,20.8,13.4,8.7,43.9,56.1,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,광화문광장,광화문광장,POI088,KEY_4,광화문광장,POI088,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,57.2,42.8,0.8,4.6,18.3,21.0,21.0,17.9,9.7,6.7,49.1,50.9,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,국립중앙박물관·용산가족공원,국립중앙박물관·용산가족공원,POI089,KEY_1,국립중앙박물관·용산가족공원,POI089,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,48.4,51.6,4.6,7.4,10.2,13.3,16.9,17.9,16.1,13.6,82.6,17.4,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,난지한강공원,난지한강공원,POI090,KEY_2,난지한강공원,POI090,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,600,700,60.6,39.4,2.7,3.8,15.0,23.1,21.6,18.2,11.1,4.4,20.7,79.3,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,남산공원,남산공원,POI091,KEY_3,남산공원,POI091,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,52.4,47.6,1.0,7.6,21.7,16.8,15.5,15.8,11.6,10.1,62.1,37.9,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,노들섬,노들섬,POI092,KEY_4,노들섬,POI092,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,56.6,43.4,0.0,5.4,36.2,15.7,9.4,14.7,12.7,5.9,15.5,84.5,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,뚝섬한강공원,POI093,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,50.9,49.1,0.4,7.3,19.5,16.8,18.4,15.5,13.4,8.7,42.2,57.8,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,망원한강공원,망원한강공원,POI094,KEY_2,망원한강공원,POI094,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,51.4,48.6,1.8,6.1,15.4,20.0,17.8,17.8,11.0,10.2,65.4,34.6,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,반포한강공원,반포한강공원,POI095,KEY_3,반포한강공원,POI095,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,57.0,43.0,0.6,10.2,24.0,16.7,23.5,14.6,7.3,3.2,13.9,86.1,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원,POI123,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,48.5,51.5,2.8,6.9,16.8,17.1,15.5,16.5,12.6,11.8,70.5,29.5,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,북서울꿈의숲,북서울꿈의숲,POI096,KEY_1,북서울꿈의숲,POI096,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,47.7,52.3,0.3,6.7,10.2,14.4,16.9,19.8,16.0,15.7,60.5,39.5,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,서대문독립공원,서대문독립공원,POI124,KEY_2,서대문독립공원,POI124,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,700,800,48.2,51.8,0.6,5.9,13.4,13.8,18.0,18.1,15.1,15.1,55.5,44.5,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,서리풀공원·몽마르뜨공원,POI098,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,48.9,51.1,0.7,8.1,12.1,17.2,21.8,17.9,11.7,10.5,36.9,63.1,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,서울대공원,서울대공원,POI100,KEY_4,서울대공원,POI100,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,400,500,53.6,46.4,2.9,8.0,12.7,13.4,18.2,19.4,15.9,9.6,68.4,31.6,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,서울숲공원,서울숲공원,POI101,KEY_1,서울숲공원,POI101,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,55.5,44.5,1.5,5.0,16.2,19.8,19.8,18.8,11.9,7.1,47.2,52.8,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,송현녹지광장,송현녹지광장,POI129,KEY_2,송현녹지광장,POI129,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,53.0,47.0,0.4,6.5,16.4,17.0,18.1,17.4,12.8,11.4,63.8,36.2,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,아차산,아차산,POI102,KEY_3,아차산,POI102,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,50.7,49.3,0.3,6.4,12.4,16.0,18.4,19.6,15.2,11.7,58.3,41.7,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,안양천,안양천,POI125,KEY_4,안양천,POI125,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,800,900,50.8,49.2,0.7,11.6,12.3,18.4,18.8,17.2,12.3,8.8,55.0,45.0,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,양화한강공원,양화한강공원,POI103,KEY_1,양화한강공원,POI103,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,400,500,57.0,43.0,0.3,4.5,23.2,28.3,19.5,11.6,8.7,4.1,30.2,69.8,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,어린이대공원,어린이대공원,POI104,KEY_2,어린이대공원,POI104,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,50.3,49.7,1.6,8.3,31.1,16.3,13.3,12.5,9.2,7.7,66.4,33.6,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,여의도한강공원,여의도한강공원,POI105,KEY_3,여의도한강공원,POI105,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,54.8,45.2,1.1,4.9,26.8,20.0,16.2,14.3,8.7,7.9,39.0,61.0,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,여의서로,여의서로,POI126,KEY_4,여의서로,POI126,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,57.9,42.1,1.6,5.0,15.7,22.9,19.3,15.9,12.1,7.5,56.9,43.1,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,올림픽공원,올림픽공원,POI127,KEY_1,올림픽공원,POI127,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,49.3,50.7,0.5,9.1,11.5,16.0,23.3,18.8,12.2,8.6,55.3,44.7,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,월드컵공원,월드컵공원,POI106,KEY_2,월드컵공원,POI106,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,48.9,51.1,3.0,7.2,13.2,17.2,18.5,17.7,11.9,11.3,71.4,28.6,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,응봉산,응봉산,POI107,KEY_3,응봉산,POI107,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,50.7,49.3,0.4,8.5,11.0,14.6,22.7,18.5,12.3,11.9,63.5,36.5,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,이촌한강공원,이촌한강공원,POI108,KEY_4,이촌한강공원,POI108,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,54.1,45.9,0.1,6.5,16.2,16.5,22.0,15.9,13.7,9.2,37.5,62.5,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,잠실종합운동장,POI109,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,50.7,49.3,4.6,11.0,10.4,13.3,23.2,18.4,10.6,8.5,68.2,31.8,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,잠실한강공원,POI110,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,55.4,44.6,0.2,12.2,14.1,13.0,25.4,19.4,8.8,7.0,26.7,73.3,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,잠원한강공원,POI111,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,700,800,53.6,46.4,0.1,8.9,24.0,15.3,21.3,17.9,7.0,5.6,23.7,76.3,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,청계산,청계산,POI112,KEY_4,청계산,POI112,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,53.3,46.7,2.8,6.4,13.4,17.6,17.4,15.7,13.1,13.6,67.2,32.8,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,홍제폭포,홍제폭포,POI128,KEY_1,홍제폭포,POI128,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,400,500,45.3,54.7,3.5,7.7,13.5,12.1,12.7,17.2,15.7,17.7,85.8,14.2,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,가락시장,가락시장,POI058,KEY_2,가락시장,POI058,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,7500,74.7,25.3,0.1,3.0,7.5,16.6,24.6,26.6,15.5,6.1,38.0,62.0,N,2026-05-19 23:50,Y
2026-05-20T00:17:45.790974+09:00,가로수길,가로수길,POI059,KEY_3,가로수길,POI059,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,51.7,48.3,2.2,7.4,14.3,16.6,20.4,17.5,10.4,11.0,67.3,32.7,N,2026-05-19 23:50,Y
