fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SUB_STTS__SUB_STN_NM,SUB_STTS__SUB_STN_LINE,SUB_STTS__SUB_STN_RADDR,SUB_STTS__SUB_STN_JIBUN,SUB_STTS__SUB_STN_X,SUB_STTS__SUB_STN_Y,SUB_STTS__SUB_FACIINFO
2026-05-13T00:07:48.004574+09:00,경복궁,경복궁,POI008,KEY_1,경복궁,3,서울특별시 종로구 사직로 지하130(적선동),,126.97353,37.575762,
2026-05-13T00:07:48.004574+09:00,보신각,보신각,POI010,KEY_3,종각,1,서울특별시 종로구 종로 지하55(종로1가),,126.982923,37.570161,
2026-05-13T00:07:48.004574+09:00,국립중앙박물관·용산가족공원,국립중앙박물관·용산가족공원,POI089,KEY_2,이촌,4,서울특별시 용산구 서빙고로 지하83(용산동5가),,126.974733,37.522295,
2026-05-13T00:07:48.004574+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_3,뚝섬유원지,7,서울특별시 광진구 능동로 10(자양동),,127.066704,37.53154,
2026-05-13T00:07:48.004574+09:00,서대문독립공원,서대문독립공원,POI124,KEY_2,독립문,3,서울특별시 서대문구 통일로 지하247(현저동),,126.957748,37.574571,
2026-05-13T00:07:48.004574+09:00,서울숲공원,서울숲공원,POI101,KEY_2,서울숲,수인분당,서울시 성동구 왕십리로 지하 77,,127.044707,37.543617,
2026-05-13T00:07:48.004574+09:00,송현녹지광장,송현녹지광장,POI129,KEY_3,안국,3,서울특별시 종로구 율곡로 지하62(안국동),,126.985443,37.576477,
2026-05-13T00:07:48.004574+09:00,여의도한강공원,여의도한강공원,POI105,KEY_2,여의나루,5,서울특별시 영등포구 여의동로 지하343(여의도동),,126.932901,37.527098,
2026-05-13T00:07:48.004574+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_2,종합운동장,9,서울특별시 송파구 올림픽로 23,,127.076275,37.511426,
2026-05-13T00:07:48.004574+09:00,잠실한강공원,잠실한강공원,POI110,KEY_3,잠실나루,2,서울특별시 송파구 오금로 20(신천동),,127.10379,37.520733,
2026-05-13T00:07:48.004574+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_3,종로5가,1,서울특별시 종로구 종로 지하216(종로5가),,127.001849,37.570926,
2026-05-13T00:07:48.004574+09:00,남대문시장,남대문시장,POI115,KEY_2,회현,4,서울특별시 중구 퇴계로 지하54(남창동),,126.978246,37.558514,
2026-05-13T00:07:48.004574+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_3,안국,3,서울특별시 종로구 율곡로 지하62(안국동),,126.985443,37.576477,
2026-05-13T00:07:48.004574+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_1,신촌,2,서울특별시 마포구 신촌로 지하90(노고산동),,126.936926,37.555131,
2026-05-13T00:07:48.004574+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_2,압구정로데오,수인분당,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),,127.040534,37.527381,
2026-05-13T00:07:48.004574+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_1,이태원,6,서울특별시 용산구 이태원로 지하177(이태원동),,126.994302,37.534488,
