adstr_cd,dong_nm,category,pred_sales,pred_sales_백만원,rank
11110515,청운효자동,한식음식점,4444628000.0,4444.6,1
11110515,청운효자동,커피-음료,4103261200.0,4103.3,2
11110515,청운효자동,양식음식점,2616572400.0,2616.6,3
11110530,사직동,한식음식점,42487874000.0,42487.9,1
11110530,사직동,커피-음료,12013206000.0,12013.2,2
11110530,사직동,호프-간이주점,7229040600.0,7229.0,3
11110540,삼청동,한식음식점,10154797000.0,10154.8,1
11110540,삼청동,커피-음료,8394059000.0,8394.1,2
11110540,삼청동,양식음식점,3347521800.0,3347.5,3
11110550,부암동,한식음식점,1048313660.0,1048.3,1
11110550,부암동,양식음식점,661960640.0,662.0,2
11110550,부암동,커피-음료,645211970.0,645.2,3
11110560,평창동,한식음식점,3133969400.0,3134.0,1
11110560,평창동,호프-간이주점,423352670.0,423.4,2
11110560,평창동,제과점,338530700.0,338.5,3
11110570,무악동,한식음식점,539114300.0,539.1,1
11110570,무악동,제과점,337267460.0,337.3,2
11110570,무악동,중식음식점,121181110.0,121.2,3
11110580,교남동,한식음식점,992960830.0,993.0,1
11110580,교남동,중식음식점,508961060.0,509.0,2
11110580,교남동,일식음식점,252336820.0,252.3,3
11110600,가회동,한식음식점,10105585000.0,10105.6,1
11110600,가회동,커피-음료,5238360000.0,5238.4,2
11110600,가회동,양식음식점,4911523000.0,4911.5,3
11110615,종로1·2·3·4가동,한식음식점,101781110000.0,101781.1,1
11110615,종로1·2·3·4가동,호프-간이주점,31633623000.0,31633.6,2
11110615,종로1·2·3·4가동,커피-음료,25884537000.0,25884.5,3
11110630,종로5·6가동,한식음식점,20774940000.0,20774.9,1
11110630,종로5·6가동,커피-음료,3042377200.0,3042.4,2
11110630,종로5·6가동,호프-간이주점,2270457600.0,2270.5,3
11110640,이화동,한식음식점,8426977000.0,8427.0,1
11110640,이화동,커피-음료,4857960400.0,4858.0,2
11110640,이화동,호프-간이주점,2149490700.0,2149.5,3
11110650,혜화동,한식음식점,15235988000.0,15236.0,1
11110650,혜화동,커피-음료,4171568400.0,4171.6,2
11110650,혜화동,호프-간이주점,3690226200.0,3690.2,3
11110670,창신1동,한식음식점,5133299700.0,5133.3,1
11110670,창신1동,양식음식점,2039021200.0,2039.0,2
11110670,창신1동,호프-간이주점,1250116600.0,1250.1,3
11110680,창신2동,한식음식점,4628412400.0,4628.4,1
11110680,창신2동,호프-간이주점,473295800.0,473.3,2
11110680,창신2동,중식음식점,343037660.0,343.0,3
11110690,창신3동,한식음식점,88729050.0,88.7,1
11110690,창신3동,중식음식점,75815260.0,75.8,2
11110690,창신3동,치킨전문점,39925630.0,39.9,3
11110700,숭인1동,한식음식점,984095400.0,984.1,1
11110700,숭인1동,호프-간이주점,81488850.0,81.5,2
11110700,숭인1동,중식음식점,79211920.0,79.2,3
11110710,숭인2동,한식음식점,5843824600.0,5843.8,1
11110710,숭인2동,호프-간이주점,624522940.0,624.5,2
11110710,숭인2동,제과점,390132770.0,390.1,3
11140520,소공동,한식음식점,57116680000.0,57116.7,1
11140520,소공동,커피-음료,18068318000.0,18068.3,2
11140520,소공동,호프-간이주점,4989638700.0,4989.6,3
11140540,회현동,한식음식점,26599290000.0,26599.3,1
11140540,회현동,커피-음료,8224703500.0,8224.7,2
11140540,회현동,호프-간이주점,2568911400.0,2568.9,3
11140550,명동,한식음식점,77971325000.0,77971.3,1
11140550,명동,커피-음료,22885935000.0,22885.9,2
11140550,명동,호프-간이주점,8714716000.0,8714.7,3
11140570,필동,한식음식점,14335071000.0,14335.1,1
11140570,필동,커피-음료,3830332400.0,3830.3,2
11140570,필동,호프-간이주점,2864680000.0,2864.7,3
11140580,장충동,한식음식점,7162311700.0,7162.3,1
11140580,장충동,커피-음료,1112037900.0,1112.0,2
11140580,장충동,양식음식점,941338400.0,941.3,3
11140590,광희동,한식음식점,21896554000.0,21896.6,1
11140590,광희동,호프-간이주점,3771653600.0,3771.7,2
11140590,광희동,커피-음료,3527597600.0,3527.6,3
11140605,을지로동,한식음식점,35573154000.0,35573.2,1
11140605,을지로동,호프-간이주점,8795153000.0,8795.2,2
11140605,을지로동,커피-음료,6234747000.0,6234.7,3
11140615,신당동,한식음식점,8576989000.0,8577.0,1
11140615,신당동,분식전문점,2272229400.0,2272.2,2
11140615,신당동,커피-음료,1179557100.0,1179.6,3
11140625,다산동,한식음식점,7025200000.0,7025.2,1
11140625,다산동,제과점,1013590600.0,1013.6,2
11140625,다산동,호프-간이주점,996204740.0,996.2,3
11140635,약수동,한식음식점,5064513000.0,5064.5,1
11140635,약수동,호프-간이주점,1077047300.0,1077.0,2
11140635,약수동,일식음식점,406175600.0,406.2,3
11140645,청구동,한식음식점,925991550.0,926.0,1
11140645,청구동,커피-음료,192714660.0,192.7,2
11140645,청구동,중식음식점,170781000.0,170.8,3
11140650,신당5동,한식음식점,8555911700.0,8555.9,1
11140650,신당5동,호프-간이주점,2292393200.0,2292.4,2
11140650,신당5동,제과점,521952770.0,522.0,3
11140665,동화동,한식음식점,2532434000.0,2532.4,1
11140665,동화동,호프-간이주점,213252620.0,213.3,2
11140665,동화동,커피-음료,169725300.0,169.7,3
11140670,황학동,한식음식점,15121920000.0,15121.9,1
11140670,황학동,분식전문점,783003140.0,783.0,2
11140670,황학동,호프-간이주점,653536400.0,653.5,3
11140680,중림동,한식음식점,8350209500.0,8350.2,1
11140680,중림동,호프-간이주점,1056963000.0,1057.0,2
11140680,중림동,커피-음료,744846000.0,744.8,3
11170510,후암동,한식음식점,5682576000.0,5682.6,1
11170510,후암동,커피-음료,872640500.0,872.6,2
11170510,후암동,양식음식점,699123100.0,699.1,3
11170520,용산2가동,양식음식점,3179202300.0,3179.2,1
11170520,용산2가동,한식음식점,2029522800.0,2029.5,2
11170520,용산2가동,커피-음료,1417519100.0,1417.5,3
11170530,남영동,한식음식점,25538265000.0,25538.3,1
11170530,남영동,호프-간이주점,6429359600.0,6429.4,2
11170530,남영동,커피-음료,3796742400.0,3796.7,3
11170555,청파동,한식음식점,8332056600.0,8332.1,1
11170555,청파동,커피-음료,2001338100.0,2001.3,2
11170555,청파동,분식전문점,1915819300.0,1915.8,3
11170560,원효로1동,한식음식점,10314437000.0,10314.4,1
11170560,원효로1동,호프-간이주점,1968304400.0,1968.3,2
11170560,원효로1동,커피-음료,1119202400.0,1119.2,3
11170570,원효로2동,한식음식점,1427770600.0,1427.8,1
11170570,원효로2동,중식음식점,484950560.0,485.0,2
11170570,원효로2동,커피-음료,239246050.0,239.2,3
11170580,효창동,한식음식점,678320640.0,678.3,1
11170580,효창동,제과점,409952000.0,410.0,2
11170580,효창동,커피-음료,336965920.0,337.0,3
11170590,용문동,한식음식점,4018237000.0,4018.2,1
11170590,용문동,호프-간이주점,375028200.0,375.0,2
11170590,용문동,분식전문점,288526940.0,288.5,3
11170625,한강로동,한식음식점,38855586000.0,38855.6,1
11170625,한강로동,커피-음료,5986264600.0,5986.3,2
11170625,한강로동,양식음식점,3705623300.0,3705.6,3
11170630,이촌1동,한식음식점,4027705600.0,4027.7,1
11170630,이촌1동,일식음식점,2114628700.0,2114.6,2
11170630,이촌1동,호프-간이주점,1115585700.0,1115.6,3
11170640,이촌2동,중식음식점,95844050.0,95.8,1
11170640,이촌2동,한식음식점,65889300.0,65.9,2
11170640,이촌2동,치킨전문점,52981220.0,53.0,3
11170650,이태원1동,양식음식점,14748085000.0,14748.1,1
11170650,이태원1동,한식음식점,13342731000.0,13342.7,2
11170650,이태원1동,호프-간이주점,11076165000.0,11076.2,3
11170660,이태원2동,양식음식점,5682348000.0,5682.3,1
11170660,이태원2동,호프-간이주점,2372824800.0,2372.8,2
11170660,이태원2동,한식음식점,1544801300.0,1544.8,3
11170685,한남동,한식음식점,18591269000.0,18591.3,1
11170685,한남동,양식음식점,10886406000.0,10886.4,2
11170685,한남동,호프-간이주점,7296572000.0,7296.6,3
11170690,서빙고동,한식음식점,706009500.0,706.0,1
11170690,서빙고동,제과점,88692160.0,88.7,2
11170690,서빙고동,중식음식점,85090170.0,85.1,3
11170700,보광동,한식음식점,2392566800.0,2392.6,1
11170700,보광동,호프-간이주점,446329820.0,446.3,2
11170700,보광동,커피-음료,121732696.0,121.7,3
11200520,왕십리2동,한식음식점,2369794600.0,2369.8,1
11200520,왕십리2동,제과점,236282910.0,236.3,2
11200520,왕십리2동,호프-간이주점,233736020.0,233.7,3
11200535,왕십리도선동,한식음식점,9186808000.0,9186.8,1
11200535,왕십리도선동,호프-간이주점,1296998100.0,1297.0,2
