AREA_NM,dong_nm,adstr_cd,conf
경복궁,사직동,11110530,mid
광화문·덕수궁,종로1·2·3·4가동,11110615,high
보신각,종로1·2·3·4가동,11110615,high
서울 암사동 유적,암사1동,11740570,mid
창덕궁·종묘,종로1·2·3·4가동,11110615,mid
강남 MICE 관광특구,삼성1동,11680580,high
동대문 관광특구,광희동,11140590,high
명동 관광특구,명동,11140550,high
이태원 관광특구,이태원1동,11170650,high
잠실 관광특구,잠실3동,11710680,high
종로·청계 관광특구,종로1·2·3·4가동,11110615,high
홍대 관광특구,서교동,11440660,high
강서한강공원,방화1동,11500630,mid
고척돔,고척1동,11530720,mid
광나루한강공원,광장동,11215810,mid
광화문광장,종로1·2·3·4가동,11110615,high
국립중앙박물관·용산가족공원,이촌1동,11170630,mid
난지한강공원,상암동,11440740,mid
남산공원,회현동,11140540,mid
노들섬,한강로동,11170625,mid
뚝섬한강공원,자양4동,11215847,mid
망원한강공원,망원1동,11440690,mid
반포한강공원,반포본동,11650550,mid
보라매공원,신대방2동,11590680,mid
북서울꿈의숲,번3동,11305608,mid
서대문독립공원,천연동,11410520,mid
서리풀공원·몽마르뜨공원,반포4동,11650581,mid
서울대공원,과천,,low
서울숲공원,성수1가1동,11200650,mid
송현녹지광장,종로1·2·3·4가동,11110615,mid
아차산,중곡4동,11215770,mid
안양천,신정3동,11470640,low
양화한강공원,당산2동,11560560,mid
어린이대공원,능동,11215780,mid
여의도한강공원,여의동,11560540,high
여의서로,여의동,11560540,mid
올림픽공원,오륜동,11710566,mid
월드컵공원,상암동,11440740,mid
응봉산,응봉동,11200580,mid
이촌한강공원,이촌1동,11170630,mid
잠실종합운동장,잠실3동,11710680,mid
잠실한강공원,잠실본동,11710650,mid
잠원한강공원,잠원동,11650540,mid
청계산,신원동,11620655,low
홍제폭포,홍제3동,11410640,low
가락시장,가락1동,11710631,high
가로수길,신사동,11680510,high
광장(전통)시장,종로5·6가동,11110630,high
김포공항,공항동,11500620,high
남대문시장,회현동,11140540,high
노량진,노량진1동,11590510,high
덕수궁길·정동길,소공동,11140520,mid
북창동 먹자골목,소공동,11140520,high
북촌한옥마을,가회동,11110600,mid
서촌,청운효자동,11110515,mid
성수카페거리,성수2가1동,11200670,high
송리단길·호수단길,잠실본동,11710650,high
신촌 스타광장,신촌동,11410585,high
압구정로데오거리,신사동,11680510,high
여의도,여의동,11560540,high
연남동,연남동,11440710,high
영등포 타임스퀘어,영등포동,11560535,high
용리단길,한강로동,11170625,high
이태원 앤틱가구거리,이태원1동,11170650,high
익선동,종로1·2·3·4가동,11110615,high
인사동,종로1·2·3·4가동,11110615,high
잠실롯데타워·석촌호수,잠실6동,11710710,high
창동 신경제 중심지,창4동,11320514,mid
청담동 명품거리,청담동,11680565,high
청량리 제기동 일대 전통시장,제기동,11230545,high
해방촌·경리단길,용산2가동,11170520,high
DDP(동대문디자인플라자),광희동,11140590,high
DMC(디지털미디어시티),상암동,11440740,high
가산디지털단지역,가산동,11545510,high
강남역,역삼1동,11680640,high
건대입구역,화양동,11215710,high
고덕역,고덕1동,11740550,mid
고속터미널역,반포4동,11650581,high
교대역,서초2동,11650520,high
구로디지털단지역,구로3동,11530540,high
구로역,구로5동,11530560,mid
군자역,군자동,11215730,mid
대림역,대림2동,11560710,high
동대문역,종로5·6가동,11110630,high
뚝섬역,성수1가1동,11200650,high
미아사거리역,송중동,11305545,high
발산역,우장산동,11500615,mid
사당역,사당2동,11590630,high
삼각지역,한강로동,11170625,high
서울대입구역,청룡동,11620595,high
서울식물원·마곡나루역,공항동,11500620,high
서울역,회현동,11140540,high
선릉역,역삼1동,11680640,high
성신여대입구역,동선동,11290575,high
수유역,수유1동,11305615,high
숭례문,회현동,11140540,high
시의회 앞,소공동,11140520,mid
신논현역·논현역,역삼1동,11680640,high
신도림역,신도림동,11530510,high
신림역,신림동,11620695,high
신정네거리역,신정3동,11470640,mid
신촌·이대역,신촌동,11410585,high
쌍문역,쌍문2동,11320670,mid
양재역,양재1동,11650651,high
역삼역,역삼1동,11680640,high
연신내역,불광2동,11380530,high
오목교역·목동운동장,목1동,11470510,high
왕십리역,행당1동,11200560,high
용산역,한강로동,11170625,high
이태원역,이태원1동,11170650,high
잠실새내역,잠실2동,11710670,high
잠실역,잠실3동,11710680,high
장지역,장지동,11710646,mid
장한평역,장안1동,11230650,mid
천호역,천호2동,11740610,high
총신대입구(이수)역,사당2동,11590630,high
충정로역,충현동,11410565,high
합정역,서교동,11440660,high
혜화역,혜화동,11110650,high
홍대입구역(2호선),서교동,11440660,high
회기역,회기동,11230710,high
